,French,English
0,chercher,search
1,seulement,only
2,aide,help
3,mois,month
4,frère,brother
5,car,because
6,aucun,no
7,laisse,leash
8,eux,them
9,devrait,should
10,bébé,baby
11,longtemps,long time
12,heures,hours
13,vont,will
14,revoir,meet again
15,parle,speak
16,compris,understood
17,savais,knew
18,attention,Warning
19,voici,here is
20,affaire,case
21,donner,give
22,donné,given
23,corps,body
24,yeux,eyes
25,façon,way
26,trouve,find
27,perdu,lost
28,main,hand
29,première,first
30,côté,side
31,vieux,old
32,tiens,here
33,matin,morning
34,tellement,so much
35,point,point
36,venez,come
37,mis,placed
38,aimerais,would like to
39,enfin,finally
40,espère,hope
41,nouvelle,new
42,boulot,job
43,dirait,would say
44,terre,Earth
45,compte,account
46,donne,given
47,fin,end
48,croire,believe
49,chérie,sweetheart
50,gros,large
51,plutôt,rather
52,filles,girls
